# L8 block-game level
# title Name
# size <w> <h>
# g <column> <row>
# w <column> <row>
# p <column> <row>
# b <column> <row> [layer]
# s <column> <row> <sides> [layer]
# r <column> <row> <dir> [layer]

title Chain
size 13 9
g 0 4
g 12 4
p 0 0

b 2 0
b 4 0
b 5 0
b 6 0
b 5 1
b 4 1
b 2 1
b 2 2
b 5 2
b 6 3
b 4 3
b 2 3
b 2 4
b 6 5
b 4 5
b 2 5
b 2 6
b 5 6
b 6 7
b 5 7
b 4 7
b 3 7
b 2 7
b 2 8
b 3 8
b 4 8
b 5 8
b 6 8
b 7 8
b 8 8
b 9 8
b 9 7
b 9 6
b 9 2
b 9 1
b 9 0
b 8 0
b 7 0
b 7 1
b 7 2
b 7 6
b 7 7
b 8 7
b 8 5
b 8 3
b 8 1
b 3 6
b 3 1
b 3 0
b 3 2
b 6 4
b 6 1
b 6 2
b 6 6
b 5 4
b 9 4
b 10 0
b 10 1
b 10 2
b 10 3
b 10 4
b 10 5
b 10 6
b 10 7
b 10 8
b 11 8
b 11 7
b 11 6
b 11 2
b 11 1
b 11 0
b 1 2
b 1 1
b 1 0
b 1 6
b 1 7
b 1 8
