# L8 block-game level
# title Name
# size <w> <h>
# g <column> <row>
# w <column> <row>
# p <column> <row>
# b <column> <row> [layer]
# s <column> <row> <sides> [layer]
# r <column> <row> <dir> [layer]

title Diversion
size 21 9
g 0 4
g 20 4
p 0 0

b 9 0
b 9 1
b 9 2
b 9 3
b 9 4
b 9 5
b 10 6
b 10 5
b 10 2
b 10 1
b 10 0
b 11 0
b 13 0
b 12 0
b 17 1
b 16 1
b 14 1
b 11 6
b 12 6
b 12 4
b 12 3
b 12 2
b 13 2
b 13 3
b 13 6
b 13 7
b 14 6
b 14 4
b 14 3
b 14 2
b 15 2
b 15 3
b 15 4
b 15 6
b 16 6
b 16 4
b 16 2
b 17 2
b 17 3
b 17 5
b 17 6
b 18 5
b 19 5
b 19 7
b 8 3
b 8 2
b 8 1
b 8 0
b 8 5
b 8 6
b 8 7
b 18 3
b 18 2
b 18 0
b 19 3
b 19 0
b 7 6
b 6 6
b 7 4
b 6 5
b 2 0
b 2 1
b 3 2
b 4 0
b 6 1
b 6 3
b 6 2
b 1 1
b 1 2
b 1 3
b 1 4
b 1 5
b 1 6
b 2 6
b 3 6
b 4 6
b 5 4
b 4 4
b 3 4
b 4 2
b 3 3
b 4 3
b 5 0
b 5 3
b 1 8
b 2 8
b 3 8
b 4 8
b 5 8
b 6 8
b 15 8
b 16 8
b 17 8
b 18 8
b 19 8
b 10 7
b 11 7
b 12 7
b 8 8
