# L8 block-game level
# title Name
# size <w> <h>
# g <column> <row>
# w <column> <row>
# p <column> <row>
# b <column> <row> [layer]
# s <column> <row> <sides> [layer]
# r <column> <row> <dir> [layer]

title Finish
size 29 9
g 0 4
g 28 4
p 0 0

b 2 2
b 3 2
b 4 2
b 3 3
b 3 4
b 6 4
b 6 3
b 6 2
b 8 3
b 8 2
b 8 4
b 10 2
b 10 3
b 10 4
b 11 4
b 3 5
b 3 6
b 6 5
b 6 6
b 8 6
b 8 5
b 7 4
b 11 2
b 11 6
b 10 6
b 10 5
b 14 2
b 15 2
b 14 3
b 14 4
b 15 4
b 15 6
b 14 6
b 14 5
b 17 6
b 17 5
b 17 4
b 17 3
b 17 2
b 18 3
b 20 5
b 21 6
b 21 5
b 21 4
b 21 3
b 21 2
b 19 4
b 23 6
b 23 5
b 23 4
b 23 3
b 23 2
b 24 2
b 25 3
b 26 4
b 25 5
b 24 6
