# L8 block-game level
# title Name
# size <w> <h>
# g <column> <row>
# w <column> <row>
# p <column> <row>
# b <column> <row> [layer]
# s <column> <row> <sides> [layer]
# r <column> <row> <dir> [layer]

title Wall
size 20 11
g 16 5
w 1 0
w 2 0
w 4 0
w 3 0
w 5 0
w 6 0
w 7 0
w 8 0
w 9 0
w 10 0
w 11 0
w 12 0
w 13 0
w 14 0
w 15 0
w 16 0
w 17 0
w 18 0
w 0 0
w 0 1
w 0 2
w 0 3
w 0 4
w 0 5
w 0 6
w 0 7
w 0 8
w 0 9
w 0 10
w 1 10
w 2 10
w 3 10
w 4 10
w 5 10
w 6 10
w 7 10
w 8 10
w 9 10
w 10 10
w 11 10
w 12 10
w 13 10
w 14 10
w 15 10
w 16 10
w 17 10
w 18 10
w 19 10
w 19 0
p 0 1

b 10 1
b 10 2
b 10 3
b 10 4
b 10 5
b 10 6
b 10 7
b 10 8
b 10 9
