# L8 canonical world
# level <name> <x0> <y0> <x1> <y1> <title>
world
p 8 6
level hello 2 -1 16 12 hello
w 9 6
w 9 5
w 8 5
w 7 5
w 7 6
w 7 7
w 7 8
w 8 8
w 9 8
w 10 8
w 11 8
w 11 7
w 11 6
w 11 5
w 11 4
w 11 3
w 10 3
w 9 3
w 8 3
w 7 3
w 6 3
w 5 3
w 5 4
w 5 5
w 5 6
w 5 7
w 5 8
w 5 9
w 5 10
w 6 10
w 7 10
w 8 10
w 9 10
w 10 10
w 11 10
w 12 10
w 13 10
w 13 9
w 13 8
w 13 7
w 13 6
w 13 5
w 13 4
w 13 3
w 13 2
w 13 1
w 12 1
w 11 1
w 10 1
w 9 1
w 8 1
w 7 1
w 6 1
w 5 1
w 4 1
w 3 1
w 3 2
w 3 3
w 3 4
w 3 5
w 3 6
w 3 7
w 3 8
w 3 9
w 3 10
w 3 11
w 3 12
w 4 12
w 5 12
w 6 12
w 7 12
w 8 12
w 9 12
w 10 12
w 11 12
w 12 12
w 13 12
w 14 12
w 15 12
w 15 11
w 15 10
w 15 9
w 15 8
w 15 7
w 15 6
w 15 5
w 15 4
w 15 3
w 15 2
w 15 1
w 15 0
