# L8 block-game level
# title Name
# size <w> <h>
# g <column> <row>
# w <column> <row>
# p <column> <row>
# b <column> <row> [layer]
# s <column> <row> <sides> [layer]
# r <column> <row> <dir> [layer]

title Composition
size 20 9
g 0 4
g 19 4
p 0 0

b 5 2
b 5 6
b 3 4
b 3 2
b 5 4
b 3 1
b 3 3
b 3 5
b 4 5
b 6 2
b 7 3
b 6 6
b 7 5
b 7 7
b 9 5
b 9 7
b 6 4
b 3 6
b 10 7
b 10 5
b 8 2
b 8 1
b 7 1
b 9 0
b 9 1
b 10 2
b 3 0
b 5 0
b 6 0
b 7 0
b 8 0
b 10 0
b 10 1
b 9 2
b 9 3
b 10 3
b 9 6
b 10 6
b 8 7
b 8 6
b 7 4
b 4 3
b 4 4
b 3 7
b 3 8
b 5 8
b 11 4
b 13 4
b 11 5
b 11 3
b 12 6
b 13 6
b 14 6
b 11 1
b 11 0
b 12 0
b 12 1
b 11 7
b 6 8
b 7 8
b 8 8
b 9 8
b 10 8
b 11 8
b 12 2
b 13 2
b 13 1
b 14 1
b 13 0
b 14 0
b 15 0
b 16 0
b 17 0
b 17 1
b 16 1
b 15 1
b 14 2
b 15 2
b 16 2
b 17 2
b 14 4
b 14 5
b 14 3
b 16 3
b 17 3
b 17 5
b 16 5
b 16 6
b 17 6
b 15 6
b 12 8
b 13 8
b 14 8
b 15 8
b 16 8
b 17 8
b 17 7
b 16 7
b 15 7
b 14 7
b 13 7
b 12 7
b 2 1
b 2 7
b 2 5
b 2 3
b 2 4
