# L8 block-game level
# title Name
# size <w> <h>
# g <column> <row>
# w <column> <row>
# f <column> <row> <grass|stone>
# p <column> <row>
# b <column> <row> [layer]
# s <column> <row> <sides> [layer]
# r <column> <row> <dir> [layer]

title Path
size 9 11
f 0 1 grass
f 1 1 stone
g 6 5
w 6 10
w 0 0
w 1 0
w 2 0
w 3 0
w 4 0
w 5 0
w 7 0
w 8 0
w 0 10
w 1 10
w 2 10
w 3 10
w 4 10
w 5 10
w 7 10
w 8 10
w 6 0
p 0 1

b 3 1
b 3 2
b 3 8
b 2 1
b 2 2
b 2 3
b 2 7
b 2 8
b 4 8
b 4 7
b 4 6
b 4 5
b 4 2
b 4 1
b 2 4
b 4 4
b 4 3
b 3 5
b 2 6
b 5 4
b 2 9
b 3 9
b 4 9
b 5 6
