# L8 block-game level
# title Name
# size <w> <h>
# g <column> <row>
# w <column> <row>
# p <column> <row>
# b <column> <row> [layer]
# s <column> <row> <sides> [layer]
# r <column> <row> <dir> [layer]

title Proxy
size 10 9
g 0 4
g 9 4
p 0 0

b 2 0
s 2 1 3
b 2 2
b 2 3
b 2 4
s 2 5 3
b 2 6
b 2 7
b 2 8
b 3 8
b 3 7
b 3 6
b 4 6
b 4 7
b 4 8
b 5 6
b 5 7
b 5 8
b 7 8
b 8 8
b 8 6
b 7 6
b 7 5
b 8 5
b 8 4
b 7 4
b 8 3
b 8 2
b 8 1
b 8 0
b 7 0
b 7 1
b 7 2
b 5 2
b 4 2
b 3 2
b 3 0
b 4 0
b 4 3
b 4 4
b 3 4
b 3 3
b 6 4
